id,data_type,loan_type,purchased_bal_gp,district,payer_3yr,balance_proxy,raw_repay_prob,calibrated_repay_prob,predicted_payer_flag,expected_value_proxy,gross_high_priority_agent_call,net_high_priority_agent_call,gross_medium_priority_auto_dialer,net_medium_priority_auto_dialer,gross_low_priority_sms_email,net_low_priority_sms_email,recommended_action,expected_gross_recovery,expected_net_recovery,recommended_contact_cost,policy_rank
11443,M,Credit Card,06. <=200k,TSEUNG KWAN O,Y,150000,0.6230061,0.17457970035588277,Y,26186.955053382415,9165.434268683844,9080.434268683844,6599.112673452368,6587.112673452368,3207.9019940393455,3206.4019940393455,High Priority (Agent Call),9165.434268683844,9080.434268683844,85.0,1
11998,M,Credit Card,07. 200k+,TAI KOK TSUI,N,250000,0.4326435,0.10246999841417521,Y,25617.499603543805,8966.12486124033,8881.12486124033,6455.609900093038,6443.609900093038,3138.1437014341154,3136.6437014341154,High Priority (Agent Call),8966.12486124033,8881.12486124033,85.0,2
14539,M,Credit Card,07. 200k+,TSEUNG KWAN O,N,250000,0.39063868,0.09042666832884512,Y,22606.66708221128,7912.333478773947,7827.333478773947,5696.880104717242,5684.880104717242,2769.3167175708813,2767.8167175708813,High Priority (Agent Call),7912.333478773947,7827.333478773947,85.0,3
3463,M,Credit Card,07. 200k+,MEI FOO,N,250000,0.37473145,0.08610696124815671,N,21526.74031203918,7534.359109213712,7449.359109213712,5424.738558633872,5412.738558633872,2637.025688224799,2635.525688224799,High Priority (Agent Call),7534.359109213712,7449.359109213712,85.0,4
10631,M,Credit Card,05. <=100k,DIAMOND HILL,Y,75000,0.7767711,0.276900184865177,Y,20767.513864888275,7268.629852710896,7183.629852710896,5233.413493951844,5221.413493951844,2544.020448448813,2542.520448448813,High Priority (Agent Call),7268.629852710896,7183.629852710896,85.0,5
10630,M,Credit Card,05. <=100k,DIAMOND HILL,Y,75000,0.77340007,0.2738240741291563,Y,20536.805559686723,7187.881945890353,7102.881945890353,5175.275001041054,5163.275001041054,2515.758681061623,2514.258681061623,High Priority (Agent Call),7187.881945890353,7102.881945890353,85.0,6
11797,M,Credit Card,05. <=100k,YAU MA TEI,Y,75000,0.75801283,0.2604360947964804,Y,19532.707109736028,6836.447488407609,6751.447488407609,4922.242191653479,4910.242191653479,2392.756620942663,2391.256620942663,High Priority (Agent Call),6836.447488407609,6751.447488407609,85.0,7
5809,M,Credit Card,07. 200k+,YUEN LONG,N,250000,0.33663225,0.07622683270273904,N,19056.708175684762,6669.847861489667,6584.847861489667,4802.29046027256,4790.29046027256,2334.4467515213832,2332.9467515213832,High Priority (Agent Call),6669.847861489667,6584.847861489667,85.0,8
14334,M,Credit Card,05. <=100k,TUEN MUN,Y,75000,0.748347,0.2525310983559511,Y,18939.832376696333,6628.941331843716,6543.941331843716,4772.837758927476,4760.837758927476,2320.1294661453007,2318.6294661453007,High Priority (Agent Call),6628.941331843716,6543.941331843716,85.0,9
12251,M,Credit Card,07. 200k+,TAI TAM RESERVOIR,N,250000,0.33026522,0.07463414815627557,N,18658.537039068895,6530.4879636741125,6445.4879636741125,4701.951333845361,4689.951333845361,2285.6707872859392,2284.1707872859392,High Priority (Agent Call),6530.4879636741125,6445.4879636741125,85.0,10
15122,M,Credit Card,05. <=100k,TO KWA WAN,Y,75000,0.7299459,0.2384372960551671,Y,17882.797204137532,6258.979021448136,6173.979021448136,4506.464895442658,4494.464895442658,2190.6426575068476,2189.1426575068476,High Priority (Agent Call),6258.979021448136,6173.979021448136,85.0,11
1134,M,Credit Card,07. 200k+,SHAM TSENG,N,250000,0.31083548,0.06986748308935893,N,17466.87077233973,6113.404770318905,6028.404770318905,4401.651434629612,4389.651434629612,2139.691669611617,2138.191669611617,High Priority (Agent Call),6113.404770318905,6028.404770318905,85.0,12
11128,T,Credit Card,05. <=100k,TUEN MUN,N,75000,0.7197574,0.23112042426009768,Y,17334.031819507327,6066.911136827564,5981.911136827564,4368.176018515846,4356.176018515846,2123.4188978896473,2121.9188978896473,High Priority (Agent Call),6066.911136827564,5981.911136827564,85.0,13
11205,M,Credit Card,05. <=100k,TUEN MUN,Y,75000,0.71807843,0.22994546963654014,Y,17245.91022274051,6036.068577959178,5951.068577959178,4345.969376130608,4333.969376130608,2112.624002285712,2111.124002285712,High Priority (Agent Call),6036.068577959178,5951.068577959178,85.0,14
15123,M,Credit Card,05. <=100k,TO KWA WAN,Y,75000,0.7173765,0.2294567237055935,Y,17209.254277919514,6023.238997271829,5938.238997271829,4336.732078035717,4324.732078035717,2108.13364904514,2106.63364904514,High Priority (Agent Call),6023.238997271829,5938.238997271829,85.0,15
1135,M,Credit Card,07. 200k+,SHAM TSENG,N,250000,0.30367494,0.0681445228721278,N,17036.13071803195,5962.645751311182,5877.645751311182,4293.104940944051,4281.104940944051,2086.9260129589134,2085.4260129589134,High Priority (Agent Call),5962.645751311182,5877.645751311182,85.0,16
